deprivation,covid,logspend,spend
56.077,0,2.300348283,9.98
56.077,0,2.683214262,14.63
56.077,0,2.433143186,11.39
56.077,0,2.36802518,10.68
56.077,0,2.422332272,11.27
56.077,0,2.577391722,13.16
56.077,0,2.987840132,19.84
56.077,0,2.762221144,15.83
56.077,0,2.394283599,10.96
56.077,0,2.242372143,9.42
56.077,0,2.424840016,11.3
56.077,0,2.394490594,10.96
56.077,0,2.55152753,12.83
56.077,0,2.103797386,8.2
56.077,0,2.539423308,12.67
56.077,0,2.689285185,14.72
56.077,0,2.064939194,7.88
56.077,0,2.231312213,9.31
56.077,0,2.631290582,13.89
56.077,0,2.377754595,10.78
56.077,0,2.338325771,10.36
56.077,0,2.313868844,10.11
56.077,0,2.398992402,11.01
56.077,0,2.619595868,13.73
56.077,0,2.877899391,17.78
56.077,0,2.463591378,11.75
56.077,0,2.593556327,13.38
56.077,0,2.334655697,10.33
56.077,0,2.281686255,9.79
56.077,0,2.437265495,11.44
56.077,0,2.555484505,12.88
56.077,0,2.609299816,13.59
56.077,0,2.585235359,13.27
56.077,0,2.501096812,12.2
56.077,0,2.347963405,10.46
56.077,0,2.495044398,12.12
56.077,0,2.707353879,14.99
56.077,0,2.239901695,9.39
56.077,0,2.088835489,8.08
56.077,0,2.374735974,10.75
56.077,0,2.543392299,12.72
56.077,0,2.656228758,14.24
56.077,0,2.542424116,12.71
56.077,0,2.631909469,13.9
56.077,0,2.417311275,11.22
56.077,0,2.549902796,12.81
56.077,0,2.538802173,12.66
56.077,0,2.079302201,8
56.077,0,2.610343845,13.6
56.077,0,2.356059656,10.55
56.077,0,2.216355888,9.17
56.077,0,2.516678269,12.39
56.077,0,2.400189577,11.03
56.077,0,2.67697275,14.54
56.077,0,2.673882444,14.5
56.077,0,2.593921733,13.38
56.077,0,2.43215803,11.38
56.077,0,2.872948379,17.69
56.077,0,2.670709859,14.45
56.077,0,2.352097466,10.51
56.077,0,2.518380999,12.41
56.077,0,2.262141659,9.6
56.077,0,2.916785375,18.48
56.077,0,2.699089289,14.87
56.077,0,2.629127273,13.86
56.077,0,2.524380257,12.48
56.077,0,2.625285218,13.81
56.077,0,2.453216967,11.63
56.077,0,2.227621902,9.28
56.077,0,2.761291294,15.82
56.077,0,2.585453893,13.27
56.077,0,2.386194834,10.87
56.077,0,2.74718818,15.6
56.077,0,2.13677168,8.47
56.077,0,2.45099738,11.6
56.077,0,2.679531521,14.58
56.077,0,2.329676531,10.27
56.077,0,2.889240681,17.98
56.077,0,2.567157428,13.03
56.077,0,2.830374789,16.95
56.077,0,2.662173732,14.33
56.077,0,2.378829818,10.79
56.077,0,2.462517378,11.73
56.077,0,2.326052163,10.24
56.077,0,2.458834182,11.69
56.077,0,2.25734922,9.56
56.077,0,2.829135763,16.93
56.077,0,2.524052311,12.48
56.077,0,2.508406137,12.29
56.077,0,2.206633357,9.09
56.077,0,2.692627236,14.77
56.077,0,2.421394626,11.26
56.077,0,2.597803858,13.43
56.077,0,2.331502448,10.29
56.077,0,2.081377457,8.02
56.077,0,2.49518773,12.12
56.077,0,2.490515556,12.07
56.077,0,2.528736455,12.54
56.077,0,2.243144159,9.42
56.077,0,2.482120727,11.97
24.57,0,2.649759322,14.15
24.57,0,3.280446194,26.59
24.57,0,2.656883464,14.25
24.57,0,2.721949394,15.21
24.57,0,3.01783142,20.45
24.57,0,2.815942526,16.71
24.57,0,2.741204221,15.51
24.57,0,2.90181654,18.21
24.57,0,3.267516764,26.25
24.57,0,2.669861998,14.44
24.57,0,2.864597749,17.54
24.57,0,2.834906085,17.03
24.57,0,3.193907666,24.38
24.57,0,3.261168042,26.08
24.57,0,2.826672998,16.89
24.57,0,3.242776567,25.6
24.57,0,2.874028727,17.71
24.57,0,2.79838298,16.42
24.57,0,2.770142081,15.96
24.57,0,3.132528736,22.93
24.57,0,3.049277015,21.1
24.57,0,2.612700493,13.64
24.57,0,2.882127921,17.85
24.57,0,2.847358223,17.24
24.57,0,2.80641169,16.55
24.57,0,2.630998482,13.89
24.57,0,2.93298168,18.78
24.57,0,2.817787675,16.74
24.57,0,2.988951894,19.86
24.57,0,3.156785298,23.49
24.57,0,2.698275758,14.85
24.57,0,3.007321078,20.23
24.57,0,3.115506062,22.54
24.57,0,3.132608601,22.93
24.57,0,3.180059458,24.05
24.57,0,2.652067825,14.18
24.57,0,2.379649737,10.8
24.57,0,2.804925704,16.53
24.57,0,2.806446017,16.55
24.57,0,3.394789016,29.81
24.57,0,2.691509472,14.75
24.57,0,2.830052259,16.95
24.57,0,2.910948829,18.37
24.57,0,2.975884903,19.61
24.57,0,2.797038332,16.4
24.57,0,2.677683511,14.55
24.57,0,2.748946665,15.63
24.57,0,2.71761352,15.14
24.57,0,2.571301889,13.08
24.57,0,2.423490475,11.29
24.57,0,2.678437595,14.56
24.57,0,2.761532175,15.82
24.57,0,3.056635256,21.26
24.57,0,2.555253561,12.87
24.57,0,3.013413338,20.36
24.57,0,2.945725411,19.02
24.57,0,2.901814886,18.21
24.57,0,2.595812705,13.41
24.57,0,3.102502505,22.25
24.57,0,2.807498689,16.57
24.57,0,3.198908912,24.51
24.57,0,2.80352108,16.5
24.57,0,2.938355299,18.88
24.57,0,2.96952685,19.48
24.57,0,2.831872004,16.98
24.57,0,2.947858309,19.07
24.57,0,3.216499292,24.94
24.57,0,2.906221524,18.29
24.57,0,2.768026603,15.93
24.57,0,2.936262317,18.85
24.57,0,3.004716653,20.18
24.57,0,3.114298278,22.52
24.57,0,2.835267968,17.03
24.57,0,3.131162657,22.9
24.57,0,2.991524586,19.92
24.57,0,2.895825088,18.1
24.57,0,3.035124025,20.8
24.57,0,2.980133813,19.69
24.57,0,2.759660049,15.79
24.57,0,2.635587807,13.95
24.57,0,2.619613218,13.73
24.57,0,2.387034472,10.88
24.57,0,2.970077982,19.49
24.57,0,2.590662643,13.34
24.57,0,2.988081032,19.85
24.57,0,2.5824423,13.23
24.57,0,3.215718339,24.92
24.57,0,2.837571337,17.07
24.57,0,2.849301315,17.28
24.57,0,3.1213489,22.68
24.57,0,3.044938794,21.01
24.57,0,2.937393683,18.87
24.57,0,2.898174271,18.14
24.57,0,2.850859334,17.3
24.57,0,2.729878796,15.33
24.57,0,2.742751531,15.53
24.57,0,2.728300059,15.31
24.57,0,2.965270706,19.4
24.57,0,3.305892133,27.27
24.57,0,2.571076015,13.08
33.269,0,2.425535343,11.31
33.269,0,2.519250883,12.42
33.269,0,2.850013614,17.29
33.269,0,2.720169453,15.18
33.269,0,2.63530666,13.95
33.269,0,2.658911347,14.28
33.269,0,2.429945362,11.36
33.269,0,2.545274485,12.75
33.269,0,2.642094202,14.04
33.269,0,2.585760698,13.27
33.269,0,3.118129586,22.6
33.269,0,2.864595437,17.54
33.269,0,2.329556424,10.27
33.269,0,2.479283851,11.93
33.269,0,2.561945444,12.96
33.269,0,2.3816514,10.82
33.269,0,2.227074142,9.27
33.269,0,2.640661602,14.02
33.269,0,2.770230591,15.96
33.269,0,2.461571862,11.72
33.269,0,2.765679334,15.89
33.269,0,2.426574086,11.32
33.269,0,2.549992469,12.81
33.269,0,2.691771879,14.76
33.269,0,2.546423796,12.76
33.269,0,2.731631179,15.36
33.269,0,2.471835486,11.84
33.269,0,2.421640755,11.26
33.269,0,2.550187025,12.81
33.269,0,2.418348445,11.23
33.269,0,2.567655155,13.04
33.269,0,2.740801057,15.5
33.269,0,2.606068622,13.55
33.269,0,2.607229119,13.56
33.269,0,2.668553739,14.42
33.269,0,2.382061049,10.83
33.269,0,2.892882607,18.05
33.269,0,2.798153708,16.41
33.269,0,2.693467881,14.78
33.269,0,2.849679638,17.28
33.269,0,2.820323467,16.78
33.269,0,2.627807168,13.84
33.269,0,2.802810994,16.49
33.269,0,2.722976036,15.23
33.269,0,2.898295383,18.14
33.269,0,2.56268455,12.97
33.269,0,2.07620126,7.97
33.269,0,2.56945433,13.06
33.269,0,2.756024143,15.74
33.269,0,2.767667024,15.92
33.269,0,2.634447505,13.94
33.269,0,2.528614583,12.54
33.269,0,2.76500384,15.88
33.269,0,2.761439762,15.82
33.269,0,2.691594958,14.76
33.269,0,2.114688716,8.29
33.269,0,2.298679731,9.96
33.269,0,2.345742994,10.44
33.269,0,2.376223439,10.76
33.269,0,2.905338804,18.27
33.269,0,2.407421949,11.11
33.269,0,2.720146005,15.18
33.269,0,2.605719624,13.54
33.269,0,2.657384187,14.26
33.269,0,2.678817285,14.57
33.269,0,2.601776471,13.49
33.269,0,2.523309589,12.47
33.269,0,2.771455373,15.98
33.269,0,2.279200735,9.77
33.269,0,2.772297008,16
